age,balance,campaign,previous,positive_balance_flag,job,marital,education,housing,loan,poutcome,target,score,decile,profit,scorecard_points,overall_response_rate,model_auc
61,13546,2,3,1,management,married,tertiary,no,no,success,0,0.7411492070713209,1,-10,535.7759315349861,0.1170008846947803,0.7321561611025206
33,224,2,4,1,management,single,tertiary,no,no,success,1,0.741134453257953,1,490,513.62064494017,0.1170008846947803,0.7321561611025206
41,1616,1,7,1,self-employed,single,tertiary,no,no,success,0,0.7394061745465791,1,-10,538.062533386202,0.1170008846947803,0.7321561611025206
67,2540,3,9,1,retired,married,unknown,no,no,success,1,0.7390739234486777,1,490,519.7171883750559,0.1170008846947803,0.7321561611025206
43,386,1,4,1,admin.,single,secondary,no,no,success,0,0.7380511312613811,1,-10,557.9525530017979,0.1170008846947803,0.7321561611025206
32,312,2,2,1,management,single,tertiary,no,no,success,1,0.737732923180946,1,490,625.0692513391393,0.1170008846947803,0.7321561611025206
29,3290,1,3,1,self-employed,single,tertiary,no,no,success,1,0.737213396452,1,490,512.4560684145747,0.1170008846947803,0.7321561611025206
37,197,1,3,1,technician,single,tertiary,no,no,success,1,0.7371790758371546,1,490,510.9465189515769,0.1170008846947803,0.7321561611025206
70,324,1,7,1,retired,married,primary,no,no,success,0,0.7366071647850179,1,-10,559.157171248727,0.1170008846947803,0.7321561611025206
69,426,2,2,1,retired,married,unknown,no,no,success,1,0.7357554054398446,1,490,527.7036051542915,0.1170008846947803,0.7321561611025206
29,3290,1,2,1,self-employed,single,tertiary,no,no,success,1,0.7354132010807228,1,490,534.4197288796539,0.1170008846947803,0.7321561611025206
37,197,1,2,1,technician,single,tertiary,no,no,success,1,0.7353787297480096,1,490,538.1967091114406,0.1170008846947803,0.7321561611025206
25,1871,1,1,1,admin.,single,secondary,no,no,success,1,0.7352915255417996,1,490,534.2412208267026,0.1170008846947803,0.7321561611025206
31,3384,3,3,1,management,single,tertiary,no,no,success,1,0.7350390897087654,1,490,535.248579729519,0.1170008846947803,0.7321561611025206
29,265,2,1,1,management,single,tertiary,no,no,success,1,0.7349785561007921,1,490,560.1870513337539,0.1170008846947803,0.7321561611025206
65,679,2,1,1,retired,married,unknown,no,no,success,0,0.7341718499231387,1,-10,537.9344865434995,0.1170008846947803,0.7321561611025206
83,425,1,2,1,retired,married,primary,no,no,success,1,0.7312252261217305,1,490,547.556994669675,0.1170008846947803,0.7321561611025206
29,1579,1,4,1,self-employed,single,tertiary,no,no,success,1,0.7308789531855484,1,490,538.2279251850027,0.1170008846947803,0.7321561611025206
82,8603,3,1,1,retired,married,primary,no,no,success,1,0.7302971518881309,1,490,548.0646506463208,0.1170008846947803,0.7321561611025206
31,410,1,1,1,admin.,single,secondary,no,no,success,1,0.7297892026537205,1,490,547.5409850059241,0.1170008846947803,0.7321561611025206
66,1004,1,1,1,retired,married,primary,no,no,success,0,0.7279667032833089,1,-10,538.2968768348587,0.1170008846947803,0.7321561611025206
30,697,3,5,1,management,single,tertiary,no,no,success,1,0.7255398068725495,1,490,515.2940965133362,0.1170008846947803,0.7321561611025206
23,780,1,3,1,self-employed,single,tertiary,no,no,success,1,0.723680500472658,1,490,533.9963747905032,0.1170008846947803,0.7321561611025206
28,805,1,1,1,self-employed,single,tertiary,no,no,success,0,0.7213446251510771,1,-10,627.3799389832589,0.1170008846947803,0.7321561611025206
35,353,1,1,1,self-employed,single,tertiary,no,no,success,1,0.7208972001764117,1,490,541.8550546936524,0.1170008846947803,0.7321561611025206
34,2240,2,3,1,management,divorced,tertiary,no,no,success,1,0.7198629974854455,1,490,518.3620223249433,0.1170008846947803,0.7321561611025206
57,9367,4,7,1,retired,married,primary,no,no,success,1,0.719538999181971,1,490,537.9667020295303,0.1170008846947803,0.7321561611025206
47,86,3,1,1,management,single,tertiary,no,no,success,1,0.7193998682998046,1,490,549.7583948102729,0.1170008846947803,0.7321561611025206
30,572,3,2,1,management,single,tertiary,no,no,success,1,0.7193512674025014,1,490,550.7475378732204,0.1170008846947803,0.7321561611025206
37,6771,1,1,1,management,married,tertiary,no,no,success,1,0.7180574652188065,1,490,527.1223894305222,0.1170008846947803,0.7321561611025206
73,519,3,2,1,retired,married,unknown,no,no,success,1,0.7179909662817019,1,490,611.288875287417,0.1170008846947803,0.7321561611025206
33,700,1,2,1,blue-collar,single,tertiary,no,no,success,1,0.7175700192624801,1,490,524.431903282172,0.1170008846947803,0.7321561611025206
27,77,4,1,1,unemployed,single,tertiary,no,no,success,0,0.7175172438256494,1,-10,518.295266696756,0.1170008846947803,0.7321561611025206
55,1693,1,3,1,admin.,divorced,secondary,no,no,success,0,0.7159190464549848,1,-10,526.9218441245952,0.1170008846947803,0.7321561611025206
33,700,1,1,1,blue-collar,single,tertiary,no,no,success,1,0.7156871549822671,1,490,513.1808927218859,0.1170008846947803,0.7321561611025206
75,1413,2,2,1,retired,married,primary,no,no,success,1,0.7146520748626161,1,490,547.1989376810074,0.1170008846947803,0.7321561611025206
27,644,1,1,1,blue-collar,single,tertiary,no,no,success,1,0.7138716146982207,1,490,530.1861621405478,0.1170008846947803,0.7321561611025206
29,464,2,3,1,admin.,single,secondary,no,no,success,1,0.7138387485847354,1,490,551.6320760031227,0.1170008846947803,0.7321561611025206
42,11008,6,1,1,management,single,tertiary,no,no,success,1,0.7132302631646589,1,490,517.4814541951966,0.1170008846947803,0.7321561611025206
46,624,2,2,1,management,divorced,tertiary,no,no,success,1,0.7130382394773289,1,490,553.5896862132265,0.1170008846947803,0.7321561611025206
24,1295,2,1,1,admin.,single,secondary,no,no,success,1,0.7129054727854612,1,490,612.9365790820309,0.1170008846947803,0.7321561611025206
41,0,1,3,0,unemployed,married,tertiary,no,no,success,1,0.7122136127001396,1,490,541.8153929653195,0.1170008846947803,0.7321561611025206
64,3951,1,1,1,management,married,tertiary,no,no,success,1,0.7109524021914818,1,490,507.3476493465775,0.1170008846947803,0.7321561611025206
54,8295,2,1,1,management,married,tertiary,no,no,success,1,0.7102443661957961,1,490,527.4533679461566,0.1170008846947803,0.7321561611025206
60,12980,2,1,1,admin.,married,secondary,no,no,success,0,0.7086885834986318,1,-10,508.7901330856528,0.1170008846947803,0.7321561611025206
39,224,2,1,1,management,divorced,tertiary,no,no,success,1,0.7073118831250405,1,490,550.8461765829434,0.1170008846947803,0.7321561611025206
38,2442,1,3,1,technician,single,secondary,no,no,success,0,0.706860433651273,1,-10,531.3289202720647,0.1170008846947803,0.7321561611025206
57,10583,3,3,1,management,married,tertiary,no,no,success,1,0.7063818407681534,1,490,530.7803764365044,0.1170008846947803,0.7321561611025206
31,2544,1,3,1,technician,single,secondary,no,no,success,1,0.7055513558913741,1,490,529.7037825853204,0.1170008846947803,0.7321561611025206
32,6138,2,7,1,management,married,tertiary,no,no,success,0,0.70515353405865,1,-10,527.1000755911211,0.1170008846947803,0.7321561611025206
30,916,2,2,1,self-employed,single,tertiary,no,no,success,1,0.7045030289503642,1,490,521.5885955237197,0.1170008846947803,0.7321561611025206
28,159,2,4,1,self-employed,single,tertiary,no,no,success,1,0.7039973462938924,1,490,556.1904434867777,0.1170008846947803,0.7321561611025206
55,8304,1,1,1,admin.,married,secondary,no,no,success,1,0.7038128771174154,1,490,551.3048636328177,0.1170008846947803,0.7321561611025206
36,353,2,2,1,self-employed,single,tertiary,no,no,success,1,0.7032131781824359,1,490,540.5934305257749,0.1170008846947803,0.7321561611025206
76,2693,5,2,1,retired,divorced,primary,no,no,success,0,0.7029949559492816,1,-10,566.9379908868798,0.1170008846947803,0.7321561611025206
60,739,1,1,1,services,single,secondary,no,no,success,0,0.7027326256305627,1,-10,539.6293799814794,0.1170008846947803,0.7321561611025206
48,2351,1,3,1,management,married,tertiary,no,no,success,1,0.7025431494173562,1,490,522.2935287319826,0.1170008846947803,0.7321561611025206
37,1045,1,3,1,services,single,secondary,no,no,success,0,0.7021269200750102,1,-10,542.8088292941563,0.1170008846947803,0.7321561611025206
39,2939,1,2,1,management,married,tertiary,no,no,success,0,0.7012366044338342,1,-10,541.9927234490209,0.1170008846947803,0.7321561611025206
31,877,1,8,1,management,married,tertiary,no,no,success,1,0.7002508470554996,1,490,518.9636255175348,0.1170008846947803,0.7321561611025206
34,2599,1,2,1,management,married,tertiary,no,no,success,0,0.6981744288027498,1,-10,547.3740254876176,0.1170008846947803,0.7321561611025206
70,2346,3,2,1,retired,married,primary,no,no,success,0,0.6979920310178689,1,-10,569.8682306218197,0.1170008846947803,0.7321561611025206
27,73,1,1,1,admin.,married,tertiary,no,no,success,0,0.6977917606904874,1,-10,526.6182646469326,0.1170008846947803,0.7321561611025206
27,2855,2,4,1,admin.,married,tertiary,no,no,success,1,0.6975496430929229,1,490,537.8663219032361,0.1170008846947803,0.7321561611025206
62,997,1,2,1,management,married,tertiary,no,no,success,1,0.6973569662729913,1,490,514.9473183458063,0.1170008846947803,0.7321561611025206
44,1791,1,2,1,management,married,tertiary,no,no,success,1,0.6966686762827549,1,490,528.9119910695701,0.1170008846947803,0.7321561611025206
73,7111,1,1,1,retired,divorced,secondary,yes,no,success,0,0.6966234525891831,1,-10,540.8697684842784,0.1170008846947803,0.7321561611025206
34,1778,1,3,1,management,married,tertiary,no,no,success,0,0.6959049246852637,1,-10,534.6274747426635,0.1170008846947803,0.7321561611025206
73,1388,3,3,1,retired,married,primary,no,no,success,0,0.6958126473247408,1,-10,556.1162559867699,0.1170008846947803,0.7321561611025206
32,1331,1,4,1,management,married,tertiary,no,no,success,0,0.6950279176384293,1,-10,550.8593844535743,0.1170008846947803,0.7321561611025206
39,494,1,5,1,management,married,tertiary,no,no,success,1,0.6945315671324372,1,490,544.6799698761653,0.1170008846947803,0.7321561611025206
39,91,1,1,1,services,single,secondary,no,no,success,1,0.6938443759537041,1,490,522.6344043369442,0.1170008846947803,0.7321561611025206
51,469,1,3,1,management,married,tertiary,no,no,success,1,0.6936666402369742,1,490,532.9934244523973,0.1170008846947803,0.7321561611025206
42,1205,1,2,1,management,married,tertiary,no,no,success,0,0.693106338475509,1,-10,532.0254132196324,0.1170008846947803,0.7321561611025206
37,203,1,5,1,management,married,tertiary,no,no,success,1,0.6924891541022122,1,490,630.6435009769934,0.1170008846947803,0.7321561611025206
61,10861,2,3,1,self-employed,married,tertiary,no,no,success,1,0.6918710385818903,1,490,512.7762345937902,0.1170008846947803,0.7321561611025206
24,598,1,2,1,technician,single,secondary,no,no,success,1,0.6917590373942795,1,490,548.2524126539963,0.1170008846947803,0.7321561611025206
27,302,1,1,1,services,single,secondary,no,no,success,0,0.6917299050249578,1,-10,537.4430592549015,0.1170008846947803,0.7321561611025206
51,469,1,2,1,management,married,tertiary,no,no,success,1,0.6916928881511363,1,490,633.690575048316,0.1170008846947803,0.7321561611025206
58,473,1,1,1,management,married,tertiary,no,no,success,1,0.6916123128203274,1,490,543.959999336214,0.1170008846947803,0.7321561611025206
29,590,1,1,1,technician,single,secondary,no,no,success,1,0.6910797627308215,1,490,527.8887975894813,0.1170008846947803,0.7321561611025206
36,82,1,4,1,management,married,tertiary,no,no,success,0,0.6896114050200306,1,-10,546.0525653799306,0.1170008846947803,0.7321561611025206
27,313,1,3,1,admin.,single,tertiary,no,yes,success,0,0.6886838123984385,1,-10,541.1231875247692,0.1170008846947803,0.7321561611025206
63,2785,2,3,1,management,married,tertiary,no,no,success,1,0.6882758397567924,1,490,513.820989863862,0.1170008846947803,0.7321561611025206
38,613,1,1,1,management,married,tertiary,no,no,success,1,0.6869607242986048,1,490,503.3687075957006,0.1170008846947803,0.7321561611025206
62,4608,1,1,1,admin.,married,secondary,no,no,success,0,0.6865836785371923,1,-10,509.88807834487807,0.1170008846947803,0.7321561611025206
48,17964,1,5,1,management,divorced,tertiary,yes,no,success,1,0.6864165685293564,1,490,532.324915881154,0.1170008846947803,0.7321561611025206
46,526,1,3,1,self-employed,single,secondary,no,no,success,0,0.6853201490544361,1,-10,542.6980340692044,0.1170008846947803,0.7321561611025206
56,3450,1,2,1,technician,divorced,secondary,no,no,success,1,0.6832780674555001,1,490,561.2571715399096,0.1170008846947803,0.7321561611025206
64,48,3,1,1,retired,married,primary,no,no,success,1,0.6824185358362377,1,490,513.8464121474365,0.1170008846947803,0.7321561611025206
26,12,4,6,1,services,single,tertiary,no,no,success,0,0.6820102427622453,1,-10,518.2150294864191,0.1170008846947803,0.7321561611025206
36,2161,2,5,1,management,married,tertiary,no,no,success,1,0.6816727520116043,1,490,538.5096764783115,0.1170008846947803,0.7321561611025206
47,3676,1,3,1,admin.,married,secondary,no,no,success,1,0.6816064351451032,1,490,513.485349618857,0.1170008846947803,0.7321561611025206
37,2283,2,4,1,management,married,tertiary,no,no,success,1,0.6805779954111267,1,490,529.2723977644696,0.1170008846947803,0.7321561611025206
29,19,1,4,1,housemaid,single,tertiary,no,no,success,1,0.6804206121622539,1,490,534.8956627511334,0.1170008846947803,0.7321561611025206
28,3733,5,7,1,student,single,tertiary,yes,no,success,0,0.6803146598812223,1,-10,527.388613009954,0.1170008846947803,0.7321561611025206
59,1625,1,2,1,unemployed,married,secondary,no,no,success,1,0.6796054489202507,1,490,538.8083888094574,0.1170008846947803,0.7321561611025206
59,1047,1,3,1,unemployed,married,secondary,no,no,success,1,0.6785546282678586,1,490,456.6733514297166,0.1170008846947803,0.7321561611025206
38,3234,1,2,1,technician,married,tertiary,no,no,success,0,0.6784634324895518,1,-10,557.3670276071373,0.1170008846947803,0.7321561611025206
50,2611,1,2,1,technician,married,tertiary,no,no,success,0,0.6784391828990591,1,-10,561.1656850663526,0.1170008846947803,0.7321561611025206
35,670,4,2,1,technician,single,tertiary,no,no,success,1,0.6771509243196212,1,490,501.6002298231594,0.1170008846947803,0.7321561611025206
38,0,1,4,0,blue-collar,single,secondary,no,no,success,0,0.6754691660590111,1,-10,561.64432903373,0.1170008846947803,0.7321561611025206
38,1130,2,1,1,technician,single,secondary,no,no,success,1,0.6754304217406235,1,490,530.9595000901633,0.1170008846947803,0.7321561611025206
47,2408,1,1,1,technician,married,tertiary,no,no,success,0,0.6745015720012344,1,-10,541.2986514750326,0.1170008846947803,0.7321561611025206
29,113,2,4,1,technician,single,secondary,no,no,success,1,0.673609915331762,1,490,542.9285169689083,0.1170008846947803,0.7321561611025206
27,535,1,3,1,blue-collar,single,secondary,no,no,success,1,0.6732622535012702,1,490,524.7024205159855,0.1170008846947803,0.7321561611025206
54,1624,3,10,1,management,married,tertiary,no,no,success,1,0.6727294836846431,1,490,517.6834390485749,0.1170008846947803,0.7321561611025206
49,1,2,4,1,management,married,tertiary,no,no,success,1,0.6716959601177876,1,490,534.5036692705238,0.1170008846947803,0.7321561611025206
53,1796,1,2,1,admin.,married,secondary,no,no,success,1,0.6711941334020958,1,490,530.1038670797133,0.1170008846947803,0.7321561611025206
55,1633,1,2,1,admin.,married,secondary,no,no,success,1,0.6708715711288002,1,490,549.4776389734618,0.1170008846947803,0.7321561611025206
47,368,1,6,1,admin.,married,secondary,no,no,success,1,0.6700295784455441,1,490,532.7669878262723,0.1170008846947803,0.7321561611025206
54,0,1,3,0,services,divorced,secondary,no,no,success,1,0.6690951981791798,1,490,558.7907343583508,0.1170008846947803,0.7321561611025206
33,1211,1,1,1,unemployed,married,secondary,no,no,success,1,0.6681699051335249,1,490,546.317405539783,0.1170008846947803,0.7321561611025206
58,169,1,4,1,admin.,married,secondary,no,no,success,1,0.6679096498408702,1,490,546.864995206722,0.1170008846947803,0.7321561611025206
48,926,2,10,1,unemployed,married,secondary,no,no,success,1,0.6678480803644357,1,490,509.08321246102685,0.1170008846947803,0.7321561611025206
53,1624,3,7,1,management,married,tertiary,no,no,success,1,0.666296914588631,1,490,555.3866744824027,0.1170008846947803,0.7321561611025206
40,732,1,4,1,admin.,married,secondary,no,no,success,0,0.665934458328278,1,-10,547.7723498658594,0.1170008846947803,0.7321561611025206
45,2033,5,2,1,technician,single,tertiary,no,no,success,1,0.6659027913285642,1,490,547.65001822176,0.1170008846947803,0.7321561611025206
56,2038,1,1,1,admin.,married,unknown,no,no,success,0,0.6653073025657276,1,-10,553.8155389625955,0.1170008846947803,0.7321561611025206
48,973,1,2,1,services,divorced,unknown,no,no,success,1,0.6646432463050866,1,490,515.3079722431878,0.1170008846947803,0.7321561611025206
